"","Name","DistanceAT","ortholog","Strain","Length","EffectiveLength","TPM","NumReads","TF"
"2207","Eam702_002207-T1",6922,"og_3682","Eam702",2481,2232,15.094301,414,"FALSE"
"2208","Eam702_002208-T1",52794,"og_8201","Eam702",351,102.003,504.211299,632,"FALSE"
"2209","Eam702_002209-T1",298786,"og_8575","Eam702",1488,1239,43.808803,667,"FALSE"
"2210","Eam702_002210-T1",4856,"og_9151","Eam702",1653,1404,13.562995,234,"FALSE"
"2211","Eam702_002211-T1",50091,"og_8086","Eam702",624,375,22.134808,102,"FALSE"
"2212","Eam702_002212-T1",301177,"og_1511","Eam702",660,411,20.789993,105,"FALSE"
"2213","Eam702_002213-T1",302326,"og_8211","Eam702",2796,2547,1.565575,49,"FALSE"
"2214","Eam702_002214-T1",11846,"og_8556","Eam702",2652,2403,7.077818,209,"FALSE"
"2215","Eam702_002215-T1",3588,"og_9087","Eam702",693,444,12.463293,68,"FALSE"
"2216","Eam702_002216-T1",2373,"og_2767","Eam702",762,513,5.710735,36,"FALSE"
"2217","Eam702_002217-T1",4264,"og_8328","Eam702",1506,1257,163.273861,2522,"FALSE"
"2218","Eam702_002218-T1",0,"og_4064","Eam702",4089,3840,8.921908,421,"FALSE"
"2219","Eam702_002219-T1",44858,"og_1289","Eam702",1095,846,9.522954,99,"FALSE"
"2220","Eam702_002220-T1",306334,"og_2863","Eam702",1662,1413,2.879617,50,"FALSE"
"2221","Eam702_002221-T1",7378,"og_1215","Eam702",1032,783,6.131929,59,"FALSE"
"2222","Eam702_002222-T1",43724,"og_1694","Eam702",1092,843,14.286999,148,"FALSE"
"2223","Eam702_002223-T1",6706,"og_11065","Eam702",2850,2601,23.778261,760,"FALSE"
"2224","Eam702_002224-T1",41433,"og_7823","Eam702",1359,1110,45.527676,621,"FALSE"
"2225","Eam702_002225-T1",9000,"og_9479","Eam702",1881,1632,8.526736,171,"FALSE"
"2226","Eam702_002226-T1",308830,"og_3565","Eam702",1827,1578,2.011243,39,"FALSE"
"2227","Eam702_002227-T1",8544,"og_0758","Eam702",2040,1791,1.499427,33,"FALSE"
"2228","Eam702_002228-T1",39428,"og_7730","Eam702",804,555,69.501186,474,"FALSE"
"2229","Eam702_002229-T1",311508,"og_4067","Eam702",1149,900,15.733074,174,"FALSE"
"2230","Eam702_002230-T1",12013,"og_3200","Eam702",3123,2874,2.859838,101,"FALSE"
"2231","Eam702_002231-T1",4183,"og_10810","Eam702",1380,1131,5.108608,71,"FALSE"
"2232","Eam702_002232-T1",37895,"og_3084","Eam702",780,531,30.957345,202,"FALSE"
"2233","Eam702_002233-T1",313172,"og_11280","Eam702",564,315,55.285352,214,"FALSE"
"2234","Eam702_002234-T1",314231,"og_8069","Eam702",1002,753,30.043926,278,"FALSE"
"2235","Eam702_002235-T1",35632,"og_3543","Eam702",1263,1014,23.594796,294,"FALSE"
"2236","Eam702_002236-T1",14510,"og_4472","Eam702",264,26.725,6.090074,2,"FALSE"
"2237","Eam702_002237-T1",15048,"og_4280","Eam702",432,183,2.223442,5,"FALSE"
"2238","Eam702_002238-T1",16049,"og_9168","Eam702",687,438,466.901464,2513,"FALSE"
"2239","Eam702_002239-T1",316639,"og_30866","Eam702",1233,984,26.298979,318,"TRUE"
"2240","Eam702_002240-T1",32730,"og_10187","Eam702",1893,1644,18.413993,372,"FALSE"
"2241","Eam702_002241-T1",16463,"og_4900","Eam702",1068,819,0,0,"FALSE"
"2242","Eam702_002242-T1",0,"og_8261","Eam702",2724,2475,0,0,"FALSE"
"2243","Eam702_002243-T1",18180,"og_2821","Eam702",1344,1095,39.53706,532,"FALSE"
"2244","Eam702_002244-T1",14042,"og_4284","Eam702",1899,1650,30.282469,614,"FALSE"
"2245","Eam702_002245-T1",29843,"og_10157","Eam702",1560,1311,15.145862,244,"FALSE"
"2246","Eam702_002246-T1",320025,"og_11554","Eam702",3405,3156,3.764634,146,"FALSE"
"2247","Eam702_002247-T1",13145,"og_4277","Eam702",756,507,192.9316,1202,"FALSE"
"2248","Eam702_002248-T1",22393,"og_11064","Eam702",3015,2766,7.178679,244,"FALSE"
"2249","Eam702_002249-T1",9718,"og_5092","Eam702",1911,1662,12.143043,248,"FALSE"
"2250","Eam702_002250-T1",324108,"og_2998","Eam702",1593,1344,9.687854,160,"FALSE"
"2251","Eam702_002251-T1",25050,"og_7764","Eam702",747,498,47.879007,293,"FALSE"
"2252","Eam702_002252-T1",8272,"og_5162","Eam702",1428,1179,21.880252,317,"FALSE"
"2253","Eam702_002253-T1",26429,"og_3508","Eam702",1551,1302,10.875397,174,"FALSE"
"2254","Eam702_002254-T1",326014,"og_9509","Eam702",1200,951,32.431389,379,"FALSE"
"2255","Eam702_002255-T1",23940,"og_7707","Eam702",540,291,72.42919,259,"FALSE"
"2256","Eam702_002256-T1",5423,"og_5139","Eam702",1182,933,28.085431,322,"FALSE"
"2257","Eam702_002257-T1",327730,"og_1918","Eam702",1278,1029,6.959438,88,"FALSE"
"2258","Eam702_002258-T1",22479,"og_4258","Eam702",912,663,13.86985,113,"FALSE"
"2259","Eam702_002259-T1",28871,"og_3089","Eam702",1377,1128,282.658591,3918,"FALSE"
"2260","Eam702_002260-T1",3969,"og_2136","Eam702",1842,1593,82.246411,1610,"FALSE"
"2261","Eam702_002261-T1",30706,"og_9221","Eam702",3162,2913,32.741154,1172,"FALSE"
"2262","Eam702_002262-T1",4316,"og_30867","Eam702",510,261,31.179299,100,"TRUE"
"2263","Eam702_002263-T1",330533,"og_9852","Eam702",1101,852,57.117402,598,"FALSE"
"2264","Eam702_002264-T1",16667,"og_7796","Eam702",3924,3675,11.226838,507,"FALSE"
"2265","Eam702_002265-T1",3118,"og_5429","Eam702",624,375,41.231505,190,"FALSE"
"2266","Eam702_002266-T1",332333,"og_8247","Eam702",1176,927,20.629799,235,"FALSE"
"2267","Eam702_002267-T1",6770,"og_1592","Eam702",1947,1698,11.022929,230,"FALSE"
"2268","Eam702_002268-T1",0,"og_5439","Eam702",1398,1149,0,0,"FALSE"
"2269","Eam702_002269-T1",334523,"og_9790","Eam702",1548,1299,20.923974,334,"FALSE"
"2270","Eam702_002270-T1",35136,"og_11646","Eam702",2622,2373,25.960019,757,"FALSE"
"2271","Eam702_002271-T1",9212,"og_9489","Eam702",1230,981,3.401118,41,"FALSE"
"2272","Eam702_002272-T1",14401,"og_1655","Eam702",1059,810,14.065328,140,"FALSE"
"2273","Eam702_002273-T1",0,"og_5412","Eam702",885,636,0,0,"FALSE"
"2274","Eam702_002274-T1",336425,"og_2455","Eam702",3159,2910,7.075129,253,"FALSE"
"2275","Eam702_002275-T1",0,"og_5416","Eam702",945,696,0.116922,1,"FALSE"
"2276","Eam702_002276-T1",11073,"og_8268","Eam702",4050,3801,8.906402,416,"FALSE"
"2277","Eam702_002277-T1",13668,"og_4515","Eam702",291,44.643,20.051436,11,"FALSE"
"2278","Eam702_002278-T1",11042,"og_1856","Eam702",1842,1593,20.433891,400,"FALSE"
"2279","Eam702_002279-T1",0,"og_5449","Eam702",1359,1110,0,0,"FALSE"
"2280","Eam702_002280-T1",33094,"og_0118","Eam702",459,210,12.787967,33,"FALSE"
"2281","Eam702_002281-T1",746,"og_5353","Eam702",666,417,0,0,"FALSE"
"2282","Eam702_002282-T1",16344,"og_9077","Eam702",1476,1227,13.861447,209,"FALSE"
"2283","Eam702_002283-T1",7202,"og_8152","Eam702",1761,1512,9.257282,172,"FALSE"
"2284","Eam702_002284-T1",343105,"og_2324","Eam702",5640,5391,26.582565,1761,"FALSE"
"2285","Eam702_002285-T1",0,"og_5360","Eam702",1641,1392,29.055209,497,"FALSE"
"2286","Eam702_002286-T1",0,"og_0719","Eam702",252,21.386,3.805244,1,"FALSE"
"2287","Eam702_002287-T1",18614,"og_0496","Eam702",4467,4218,28.360744,1470,"FALSE"
"2288","Eam702_002288-T1",3560,"og_8061","Eam702",1680,1431,51.692925,909,"FALSE"
"2289","Eam702_002289-T1",0,"og_5363","Eam702",393,144,0,0,"FALSE"
"2290","Eam702_002290-T1",20374,"og_4189","Eam702",3453,3204,11.531086,454,"FALSE"
"2291","Eam702_002291-T1",350316,"og_11720","Eam702",1488,1239,51.230684,780,"FALSE"
"2292","Eam702_002292-T1",352631,"og_4571","Eam702",579,330,27.86579,113,"FALSE"
"2293","Eam702_002293-T1",27180,"og_2079","Eam702",1599,1350,237.322276,3937,"FALSE"
"2294","Eam702_002294-T1",0,"og_30868","Eam702",162,6.797,0,0,"TRUE"
"2295","Eam702_002295-T1",17809,"og_1305","Eam702",903,654,0,0,"FALSE"
"2296","Eam702_002296-T1",29283,"og_2220","Eam702",810,561,181.9037,1254,"FALSE"
"2297","Eam702_002297-T1",15245,"og_0931","Eam702",1797,1548,11.985903,228,"FALSE"
"2298","Eam702_002298-T1",31147,"og_8278","Eam702",333,84.038,248.866057,257,"FALSE"
"2299","Eam702_002299-T1",31682,"og_9125","Eam702",1074,825,20.122553,204,"FALSE"
"2300","Eam702_002300-T1",12715,"og_2987","Eam702",1941,1692,19.767344,411,"FALSE"
"2301","Eam702_002301-T1",359387,"og_3141","Eam702",960,711,13.047945,114,"FALSE"
"2302","Eam702_002302-T1",33250,"og_8759","Eam702",597,348,40.455141,173,"FALSE"
"2303","Eam702_002303-T1",34817,"og_5403","Eam702",717,468,7.65092,44,"FALSE"
"2304","Eam702_002304-T1",9432,"og_8176","Eam702",1974,1725,21.323387,452,"FALSE"
"2305","Eam702_002305-T1",35970,"og_4601","Eam702",897,648,0,0,"FALSE"
"2306","Eam702_002306-T1",37396,"og_30869","Eam702",486,237,29.186192,85,"TRUE"
"2307","Eam702_002307-T1",6639,"og_3340","Eam702",1521,1272,15.098429,236,"FALSE"
"2308","Eam702_002308-T1",365398,"og_30870","Eam702",195,9.348,34.822712,4,"TRUE"
"2309","Eam702_002309-T1",40680,"og_9226","Eam702",1392,1143,32.038571,450,"FALSE"
"2310","Eam702_002310-T1",1082,"og_2806","Eam702",1851,1602,16.052084,316,"FALSE"
"2311","Eam702_002311-T1",3216,"og_1132","Eam702",1677,1428,11.853374,208,"FALSE"
"2312","Eam702_002312-T1",367728,"og_8512","Eam702",2613,2364,14.664558,426,"FALSE"
"2313","Eam702_002313-T1",3358,"og_0059","Eam702",1437,1188,0.0685,1,"FALSE"
"2314","Eam702_002314-T1",42883,"og_9454","Eam702",702,453,83.533679,465,"FALSE"
"2315","Eam702_002315-T1",44353,"og_9348","Eam702",1896,1647,8.498489,172,"FALSE"
"2316","Eam702_002316-T1",0,"og_8344","Eam702",1545,1296,8.162914,130,"FALSE"
"2317","Eam702_002317-T1",1568,"og_4580","Eam702",636,387,8.621439,41,"FALSE"
"2318","Eam702_002318-T1",993,"og_10988","Eam702",1617,1368,25.162925,423,"FALSE"
"2319","Eam702_002319-T1",0,"og_3324","Eam702",3666,3417,20.814851,874,"FALSE"
"2320","Eam702_002320-T1",47163,"og_30871","Eam702",1146,897,13.608356,150,"TRUE"
"2321","Eam702_002321-T1",0,"og_1497","Eam702",555,306,0,0,"FALSE"
"2322","Eam702_002322-T1",377446,"og_30872","Eam702",678,429,29.591989,156,"TRUE"
"2323","Eam702_002323-T1",52287,"og_11008","Eam702",3666,3417,11.931625,501,"FALSE"
"2324","Eam702_002324-T1",382220,"og_0996","Eam702",15723,15474,14.372883,2733,"FALSE"
"2325","Eam702_002325-T1",59166,"og_2378","Eam702",1200,951,106.621401,1246,"FALSE"
"2326","Eam702_002326-T1",61370,"og_9088","Eam702",1083,834,20.783583,213,"FALSE"
"2327","Eam702_002327-T1",63318,"og_11759","Eam702",1548,1299,33.515947,535,"FALSE"
"2328","Eam702_002328-T1",64960,"og_6852","Eam702",576,327,40.564554,163,"FALSE"
"2329","Eam702_002329-T1",66117,"og_30873","Eam702",405,156,15.64961,30,"TRUE"
"2330","Eam702_002330-T1",67088,"og_2186","Eam702",690,441,7.565752,41,"FALSE"
"2331","Eam702_002331-T1",69742,"og_3673","Eam702",987,738,15.988897,145,"FALSE"
"2332","Eam702_002332-T1",71016,"og_1945","Eam702",453,204,14.360818,36,"FALSE"
"2333","Eam702_002333-T1",72319,"og_9150","Eam702",516,267,34.440864,113,"FALSE"
"2334","Eam702_002334-T1",4063,"og_9465","Eam702",2319,2070,21.582853,549,"FALSE"
"2335","Eam702_002335-T1",3722,"og_2427","Eam702",2109,1860,12.644212,289,"FALSE"
"2336","Eam702_002336-T1",399841,"og_10762","Eam702",2121,1872,22.083338,508,"FALSE"
"2337","Eam702_002337-T1",74417,"og_2802","Eam702",1047,798,0.611864,6,"FALSE"
"2338","Eam702_002338-T1",7207,"og_9632","Eam702",852,603,45.88476,340,"FALSE"
"2339","Eam702_002339-T1",76165,"og_3457","Eam702",2940,2691,1.391076,46,"FALSE"
"2340","Eam702_002340-T1",7084,"og_0416","Eam702",3390,3141,65.807082,2540,"FALSE"
"2341","Eam702_002341-T1",403392,"og_11555","Eam702",1827,1578,14.38812,279,"FALSE"
"2342","Eam702_002342-T1",79273,"og_30874","Eam702",1407,1158,0.983844,14,"TRUE"
"2343","Eam702_002343-T1",10697,"og_3961","Eam702",696,447,24.213132,133,"FALSE"
"2344","Eam702_002344-T1",406571,"og_4214","Eam702",1905,1656,8.698008,177,"FALSE"
"2345","Eam702_002345-T1",11421,"og_1181","Eam702",2241,1992,8.170479,200,"FALSE"
"2346","Eam702_002346-T1",11346,"og_2013","Eam702",2217,1968,3.308048,80,"FALSE"
"2347","Eam702_002347-T1",81841,"og_8829","Eam702",627,378,28.63299,133,"FALSE"
"2348","Eam702_002348-T1",2866,"og_9817","Eam702",1659,1410,6.521781,113,"FALSE"
"2349","Eam702_002349-T1",409723,"og_11290","Eam702",780,531,44.443713,290,"FALSE"
"2350","Eam702_002350-T1",14654,"og_30875","Eam702",708,459,23.934697,135,"TRUE"
"2351","Eam702_002351-T1",9992,"og_2513","Eam702",885,636,5.757875,45,"FALSE"
"2352","Eam702_002352-T1",411672,"og_4095","Eam702",954,705,45.36389,393,"FALSE"
"2353","Eam702_002353-T1",85568,"og_0976","Eam702",906,657,4.335204,35,"FALSE"
"2354","Eam702_002354-T1",5565,"og_10953","Eam702",834,585,64.406839,463,"FALSE"
"2355","Eam702_002355-T1",11005,"og_9244","Eam702",2373,2124,116.204984,3033,"FALSE"
"2356","Eam702_002356-T1",6916,"og_1093","Eam702",1149,900,15.461815,171,"FALSE"
"2357","Eam702_002357-T1",6211,"og_8067","Eam702",1857,1608,34.919652,690,"FALSE"
"2358","Eam702_002358-T1",87403,"og_3091","Eam702",243,18.264,0,0,"FALSE"
"2359","Eam702_002359-T1",414385,"og_4006","Eam702",1704,1455,13.42317,240,"FALSE"
"2360","Eam702_002360-T1",88730,"og_0083","Eam702",663,414,26.929425,137,"FALSE"
"2361","Eam702_002361-T1",89880,"og_2724","Eam702",1425,1176,14.60098,211,"FALSE"
"2362","Eam702_002362-T1",9732,"og_0559","Eam702",2370,2121,20.526739,535,"FALSE"
"2363","Eam702_002363-T1",416341,"og_9176","Eam702",978,729,16.074661,144,"FALSE"
"2364","Eam702_002364-T1",7510,"og_1986","Eam702",687,438,1.300561,7,"FALSE"
"2365","Eam702_002365-T1",91858,"og_2096","Eam702",2130,1881,11.248417,260,"FALSE"
"2366","Eam702_002366-T1",418685,"og_3178","Eam702",1401,1152,17.306947,245,"FALSE"
"2367","Eam702_002367-T1",836,"og_0797","Eam702",1275,1026,50.048245,631,"FALSE"
"2368","Eam702_002368-T1",421108,"og_2528","Eam702",639,390,28.795282,138,"FALSE"
"2369","Eam702_002369-T1",0,"og_0550","Eam702",711,462,145.846234,828,"FALSE"
"2370","Eam702_002370-T1",95142,"og_8018","Eam702",2415,2166,8.45339,225,"FALSE"
"2371","Eam702_002371-T1",0,"og_1028","Eam702",384,135,146.480341,243,"FALSE"
"2372","Eam702_002372-T1",4523,"og_3709","Eam702",1929,1680,43.789099,904,"FALSE"
"2373","Eam702_002373-T1",59,"og_0243","Eam702",1500,1251,67.262048,1034,"FALSE"
"2374","Eam702_002374-T1",424051,"og_8860","Eam702",1431,1182,28.365249,412,"FALSE"
"2375","Eam702_002375-T1",99070,"og_8113","Eam702",1185,936,74.509531,857,"FALSE"
"2376","Eam702_002376-T1",425804,"og_4820","Eam702",3843,3594,8.898593,393,"FALSE"
"2377","Eam702_002377-T1",0,"og_8149","Eam702",1320,1071,8.510115,112,"FALSE"
"2378","Eam702_002378-T1",1511,"og_1583","Eam702",1518,1269,3.655275,57,"FALSE"
"2379","Eam702_002379-T1",4044,"og_7732","Eam702",771,522,354.040944,2271,"FALSE"
"2380","Eam702_002380-T1",5597,"og_1213","Eam702",591,342,9.755839,41,"FALSE"
"2381","Eam702_002381-T1",708,"og_1633","Eam702",483,234,98.070888,282,"FALSE"
"2382","Eam702_002382-T1",0,"og_1886","Eam702",1596,1347,189.27779,3133,"FALSE"
"2383","Eam702_002383-T1",7445,"og_7715","Eam702",2943,2694,76.87711,2545,"FALSE"
"2384","Eam702_002384-T1",432136,"og_30876","Eam702",660,411,1.188,6,"TRUE"
"2385","Eam702_002385-T1",433907,"og_2545","Eam702",633,384,11.019934,52,"FALSE"
"2386","Eam702_002386-T1",108530,"og_7753","Eam702",1644,1395,29.051061,498,"FALSE"
"2387","Eam702_002387-T1",435798,"og_4252","Eam702",1548,1299,24.557479,392,"FALSE"
"2388","Eam702_002388-T1",13397,"og_2857","Eam702",4089,3840,14.262337,673,"FALSE"
"2389","Eam702_002389-T1",111644,"og_7762","Eam702",1065,816,18.449663,185,"FALSE"
"2390","Eam702_002390-T1",438118,"og_7956","Eam702",1350,1101,8.130406,110,"FALSE"
"2391","Eam702_002391-T1",3279,"og_8604","Eam702",810,561,12.620113,87,"FALSE"
"2392","Eam702_002392-T1",114112,"og_10019","Eam702",2550,2301,9.867212,279,"FALSE"
"2393","Eam702_002393-T1",4441,"og_0939","Eam702",909,660,25.769691,209,"FALSE"
"2394","Eam702_002394-T1",440794,"og_3921","Eam702",2382,2133,9.347212,245,"FALSE"
"2395","Eam702_002395-T1",6667,"og_10992","Eam702",1275,1026,21.732519,274,"FALSE"
"2396","Eam702_002396-T1",443902,"og_2707","Eam702",1356,1107,5.880974,80,"FALSE"
"2397","Eam702_002397-T1",20681,"og_0339","Eam702",876,627,3.763893,29,"FALSE"
"2398","Eam702_002398-T1",118138,"og_2876","Eam702",1077,828,15.332082,156,"FALSE"
"2399","Eam702_002399-T1",8283,"og_11055","Eam702",669,420,34.295002,177,"FALSE"
"2400","Eam702_002400-T1",9550,"og_2294","Eam702",1113,864,11.019934,117,"FALSE"
"2401","Eam702_002401-T1",119689,"og_2405","Eam702",624,375,44.92064,207,"FALSE"
"2402","Eam702_002402-T1",121161,"og_0411","Eam702",783,534,3.962223,26,"FALSE"
"2403","Eam702_002403-T1",11103,"og_9551","Eam702",2388,2139,8.636185,227,"FALSE"
"2404","Eam702_002404-T1",447614,"og_10354","Eam702",828,579,69.009644,491,"FALSE"
"2405","Eam702_002405-T1",449752,"og_1287","Eam702",2520,2271,8.528383,238,"FALSE"
"2406","Eam702_002406-T1",123577,"og_8122","Eam702",1128,879,476.973047,5152,"FALSE"
"2407","Eam702_002407-T1",14248,"og_2634","Eam702",672,423,35.01369,182,"FALSE"
"2408","Eam702_002408-T1",27376,"og_2778","Eam702",318,69.234,182.186634,155,"FALSE"
"2409","Eam702_002409-T1",28338,"og_10195","Eam702",2646,2397,11.441125,337,"FALSE"
"2410","Eam702_002410-T1",15959,"og_8576","Eam702",4224,3975,22.294493,1089,"FALSE"
"2411","Eam702_002411-T1",126966,"og_3348","Eam702",342,93.011,128.615005,147,"FALSE"
"2412","Eam702_002412-T1",453280,"og_11564","Eam702",3984,3735,26.755595,1228,"FALSE"
"2413","Eam702_002413-T1",128478,"og_8160","Eam702",2460,2211,9.827191,267,"FALSE"
"2414","Eam702_002414-T1",32776,"og_3350","Eam702",969,720,49.957033,442,"FALSE"
"2415","Eam702_002415-T1",21323,"og_8638","Eam702",3177,2928,2.918267,105,"FALSE"
"2416","Eam702_002416-T1",131499,"og_2228","Eam702",228,14.36,73.673375,13,"FALSE"
"2417","Eam702_002417-T1",34918,"og_7952","Eam702",573,324,41.191319,164,"FALSE"
"2418","Eam702_002418-T1",36497,"og_0881","Eam702",582,333,35.434852,145,"FALSE"
"2419","Eam702_002419-T1",460607,"og_30877","Eam702",459,210,156.168201,403,"TRUE"
"2420","Eam702_002420-T1",135186,"og_3155","Eam702",1440,1191,15.988619,234,"FALSE"
"2421","Eam702_002421-T1",461068,"og_2543","Eam702",3276,3027,11.748323,437,"FALSE"
"2422","Eam702_002422-T1",19563,"og_3570","Eam702",1077,828,39.902725,406,"FALSE"
"2423","Eam702_002423-T1",39947,"og_2596","Eam702",1797,1548,10.040822,191,"FALSE"
"2424","Eam702_002424-T1",18194,"og_2244","Eam702",783,534,24.687699,162,"FALSE"
"2425","Eam702_002425-T1",459140,"og_10153","Eam702",1116,867,0,0,"FALSE"
"2426","Eam702_002426-T1",42763,"og_1201","Eam702",1095,846,18.083994,188,"FALSE"
"2427","Eam702_002427-T1",140694,"og_5305","Eam702",213,11.625,7.000555,1,"FALSE"
"2428","Eam702_002428-T1",16510,"og_4357","Eam702",237,16.531,4.922824,1,"FALSE"
"2429","Eam702_002429-T1",14068,"og_3843","Eam702",1692,1443,0.056395,1,"FALSE"
"2430","Eam702_002430-T1",456878,"og_8514","Eam702",963,714,28.949586,254,"FALSE"
"2431","Eam702_002431-T1",45637,"og_7944","Eam702",3762,3513,7.204255,311,"FALSE"
"2432","Eam702_002432-T1",13234,"og_11037","Eam702",387,138,27.12599,46,"FALSE"
"2433","Eam702_002433-T1",453927,"og_11288","Eam702",1473,1224,27.724358,417,"FALSE"
"2434","Eam702_002434-T1",11549,"og_1594","Eam702",999,750,13.345987,123,"FALSE"
"2435","Eam702_002435-T1",10446,"og_4146","Eam702",711,462,6.693426,38,"FALSE"
"2436","Eam702_002436-T1",452424,"og_2784","Eam702",702,453,17.964232,100,"FALSE"
"2437","Eam702_002437-T1",50781,"og_2464","Eam702",1275,1026,13.245732,167,"FALSE"
"2438","Eam702_002438-T1",5869,"og_4599","Eam702",282,37.744,0,0,"FALSE"
"2439","Eam702_002439-T1",7792,"og_9507","Eam702",1350,1101,53.143289,719,"FALSE"
"2440","Eam702_002440-T1",450846,"og_5313","Eam702",627,378,32.07756,149,"FALSE"
"2441","Eam702_002441-T1",449814,"og_4268","Eam702",522,273,277.519746,931,"FALSE"
"2442","Eam702_002442-T1",131251,"og_4598","Eam702",198,9.67,0,0,"FALSE"
"2443","Eam702_002443-T1",53411,"og_0354","Eam702",1749,1500,23.328352,430,"FALSE"
"2444","Eam702_002444-T1",448335,"og_3015","Eam702",546,297,11.233996,41,"FALSE"
"2445","Eam702_002445-T1",9616,"og_1820","Eam702",1137,888,7.148065,78,"FALSE"
"2446","Eam702_002446-T1",445254,"og_9497","Eam702",1659,1410,213.371886,3697,"FALSE"
"2447","Eam702_002447-T1",4241,"og_8813","Eam702",561,312,80.856317,310,"FALSE"
"2448","Eam702_002448-T1",56242,"og_10094","Eam702",1668,1419,20.473528,357,"FALSE"
"2449","Eam702_002449-T1",1156,"og_8969","Eam702",1737,1488,101.0115,1847,"FALSE"
"2450","Eam702_002450-T1",124823,"og_8251","Eam702",1557,1308,41.124495,661,"FALSE"
"2451","Eam702_002451-T1",442997,"og_3683","Eam702",1002,753,4.971297,46,"FALSE"
"2452","Eam702_002452-T1",58919,"og_8607","Eam702",4188,3939,20.638891,999,"FALSE"
"2453","Eam702_002453-T1",14804,"og_10808","Eam702",1572,1323,24.173502,393,"FALSE"
"2454","Eam702_002454-T1",123276,"og_10431","Eam702",936,687,18.241932,154,"FALSE"
"2455","Eam702_002455-T1",0,"og_11165","Eam702",1671,1422,103.296229,1805,"FALSE"
"2456","Eam702_002456-T1",122281,"og_2594","Eam702",363,114,14.990635,21,"FALSE"
"2457","Eam702_002457-T1",13840,"og_8894","Eam702",435,186,521.081521,1191,"FALSE"
"2458","Eam702_002458-T1",115755,"og_7904","Eam702",5355,5106,10.216075,641,"FALSE"
"2459","Eam702_002459-T1",63779,"og_11182","Eam702",1938,1689,14.887977,309,"FALSE"
"2460","Eam702_002460-T1",12496,"og_8923","Eam702",396,147,721.3299,1303,"FALSE"
"2461","Eam702_002461-T1",435504,"og_11352","Eam702",1572,1323,5.597427,91,"FALSE"
"2462","Eam702_002462-T1",66397,"og_8672","Eam702",1233,984,7.691211,93,"FALSE"
"2463","Eam702_002463-T1",7310,"og_2316","Eam702",3030,2781,4.477105,153,"FALSE"
"2464","Eam702_002464-T1",4993,"og_10891","Eam702",873,624,60.250998,462,"FALSE"
"2465","Eam702_002465-T1",6028,"og_10949","Eam702",903,654,12.567546,101,"FALSE"
"2466","Eam702_002466-T1",69281,"og_8411","Eam702",2472,2223,21.08579,576,"FALSE"
"2467","Eam702_002467-T1",432388,"og_2496","Eam702",1260,1011,13.603241,169,"FALSE"
"2468","Eam702_002468-T1",7330,"og_9504","Eam702",1893,1644,47.272483,955,"FALSE"
"2469","Eam702_002469-T1",114396,"og_10202","Eam702",276,33.649,609.451079,252,"FALSE"
"2470","Eam702_002470-T1",112585,"og_2523","Eam702",1290,1041,29.940214,383,"FALSE"
"2471","Eam702_002471-T1",431150,"og_2904","Eam702",774,525,19.530713,126,"FALSE"
"2472","Eam702_002472-T1",0,"og_4233","Eam702",3363,3114,130.795358,5005,"FALSE"
"2473","Eam702_002473-T1",10104,"og_3168","Eam702",1434,1185,33.649963,490,"FALSE"
"2474","Eam702_002474-T1",73197,"og_3922","Eam702",450,201,880.177651,2174,"FALSE"
"2475","Eam702_002475-T1",427677,"og_11305","Eam702",1824,1575,9.507014,184,"FALSE"
"2476","Eam702_002476-T1",109339,"og_7914","Eam702",1341,1092,26.157205,351,"FALSE"
"2477","Eam702_002477-T1",11964,"og_0811","Eam702",276,33.649,389.371523,161,"FALSE"
"2478","Eam702_002478-T1",12743,"og_8716","Eam702",720,471,38.874827,225,"FALSE"
"2479","Eam702_002479-T1",108288,"og_7917","Eam702",696,447,72.093236,396,"FALSE"
"2480","Eam702_002480-T1",75479,"og_10767","Eam702",942,693,17.379422,148,"FALSE"
"2481","Eam702_002481-T1",424701,"og_11685","Eam702",1779,1530,4.786939,90,"FALSE"
"2482","Eam702_002482-T1",13796,"og_0902","Eam702",1386,1137,0,0,"FALSE"
"2483","Eam702_002483-T1",105861,"og_7922","Eam702",1851,1602,8.432424,166,"FALSE"
"2484","Eam702_002484-T1",76964,"og_10868","Eam702",2274,2025,8.27845,206,"FALSE"
"2485","Eam702_002485-T1",15629,"og_0867","Eam702",3603,3354,16.935547,698,"FALSE"
"2486","Eam702_002486-T1",105062,"og_0463","Eam702",558,309,2.106873,8,"FALSE"
"2487","Eam702_002487-T1",103327,"og_1086","Eam702",1179,930,0,0,"FALSE"
"2488","Eam702_002488-T1",80046,"og_3722","Eam702",207,10.766,2804.317009,371,"FALSE"
"2489","Eam702_002489-T1",80687,"og_3146","Eam702",711,462,143.73252,816,"FALSE"
"2490","Eam702_002490-T1",420988,"og_9280","Eam702",648,399,424.022059,2079,"FALSE"
"2491","Eam702_002491-T1",90518,"og_7735","Eam702",11562,11313,9.408856,1308,"FALSE"
"2492","Eam702_002492-T1",82157,"og_11623","Eam702",1245,996,7.84366,96,"FALSE"
"2493","Eam702_002493-T1",3556,"og_1954","Eam702",1797,1548,3.154185,60,"FALSE"
"2494","Eam702_002494-T1",418978,"og_3117","Eam702",606,357,22.567,99,"FALSE"
"2495","Eam702_002495-T1",21121,"og_2899","Eam702",1224,975,12.686617,152,"FALSE"
"2496","Eam702_002496-T1",84228,"og_8990","Eam702",2382,2133,15.298906,401,"FALSE"
